y_true,mean_abs_delta_phase,mean_gyro_magnitude
0,0.2881874740123749,2.0476577281951904
0,0.3241100013256073,2.9293112754821777
0,0.11612050235271454,0.033268727362155914
0,0.22810940444469452,0.2175186425447464
0,0.13326261937618256,0.1389639675617218
0,0.3291427791118622,2.9002530574798584
0,0.13313110172748566,0.12712924182415009
5,0.2820468842983246,1.762084722518921
0,0.09589973092079163,0.04809834063053131
0,0.1020393818616867,0.061672329902648926
0,0.08857481926679611,0.06060723960399628
0,0.31803658604621887,1.8852407932281494
0,0.08508830517530441,0.05254233628511429
0,0.11761251837015152,0.036079101264476776
0,0.10203392803668976,0.06297203153371811
0,0.09269025921821594,0.05140808969736099
0,0.32507920265197754,1.441748857498169
0,0.0899818018078804,0.08398323506116867
0,0.2605222761631012,0.328358918428421
0,0.3405805230140686,2.2054898738861084
0,0.13980194926261902,0.07041056454181671
0,0.2936049699783325,1.2987840175628662
0,0.09632270038127899,0.04175129905343056
0,0.09605762362480164,0.04046833515167236
0,0.33594146370887756,2.060967445373535
0,0.08286438137292862,0.045389074832201004
0,0.1218876987695694,0.04925144836306572
0,0.2751540541648865,1.782010793685913
0,0.3126024305820465,1.5525211095809937
0,0.30225563049316406,2.2756879329681396
0,0.11424583941698074,0.10933719575405121
0,0.20270800590515137,0.14593401551246643
0,0.32154959440231323,1.6510233879089355
0,0.3249252140522003,1.628420352935791
0,0.1139015331864357,0.04809306189417839
0,0.27592208981513977,1.5253121852874756
0,0.3036498427391052,1.2619354724884033
0,0.08839848637580872,0.053614359349012375
0,0.3286111652851105,1.6001123189926147
0,0.20027482509613037,0.20293787121772766
0,0.3113948404788971,1.441659688949585
0,0.0894496962428093,0.04846420884132385
0,0.1706535667181015,0.0992216020822525
0,0.31819698214530945,1.5689314603805542
0,0.3207852840423584,2.609610080718994
0,0.1967574506998062,0.28541839122772217
0,0.2806127965450287,0.8123023509979248
0,0.1634598821401596,0.2466333657503128
0,0.3046163320541382,2.591555595397949
0,0.3124805688858032,2.6093854904174805
0,0.11352454125881195,0.04911135882139206
0,0.09436166286468506,0.0735393762588501
0,0.09152331203222275,0.06575126945972443
0,0.30185404419898987,2.2024316787719727
